date,item,price,volume
2009-12-28,GOOG,622.9,1.698e+06
2009-12-29,GOOG,619.4,1.425e+06
2009-12-30,GOOG, 622.7,1.466e+06
2009-12-31,GOOG,620,1.22e+06
2009-12-28,AAPL,211.6,2.3e+07
2009-12-29,AAPL,209.1,1.587e+07
2009-12-30,AAPL,211.6,1.47e+07
2009-12-31,AAPL,210.7,1.257e+07
